Question_ID,Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Exam_Type,Estimated_Duration_Mins,Student_Avg_Score,Pass_Rate,Difficulty_Level
QID_20452,Define Quantum Physics as defined in the textbook.,Physics,Quantum Physics,Remember,Final,20,4.8,95.2,Easy
QID_14411,What is Mechanics briefly.,Physics,Mechanics,Remember,Final,18,4.4,88.6,Easy
QID_17048,Define Calculus as defined in the textbook.,Mathematics,Calculus,Remember,Midterm,24,4.3,86.2,Easy
QID_12473,Hypothesize Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,Quiz,10,1.3,25.7,Hard
QID_10744,Describe Networking for a specific case.,Computer Science,Networking,Apply,Quiz,30,2.8,56.5,Medium
QID_17733,Hypothesize Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,Midterm,25,1.9,38.7,Hard
QID_10357,Derive the formula for Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,Midterm,15,2.4,48.6,Medium
QID_16275,Synthesize Networking considering edge cases.,Computer Science,Networking,Evaluate,Final,19,2.1,41.6,Hard
QID_21238,Compare Geometry for a specific case.,Mathematics,Geometry,Apply,Quiz,6,2.9,57.9,Medium
QID_15357,Describe Mechanics using an example.,Physics,Mechanics,Apply,Quiz,30,2.9,57.9,Medium
QID_14464,Critically analyze Statistics considering edge cases.,Mathematics,Statistics,Evaluate,Midterm,29,1.6,32.8,Hard
QID_14029,Hypothesize Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,Final,28,0.6,11.4,Hard
QID_16498,Identify AI in simple terms.,Computer Science,AI,Remember,Final,20,4.1,82.5,Easy
QID_13206,Explain how Statistics in a standard system.,Mathematics,Statistics,Apply,Quiz,25,2.8,55.5,Medium
QID_12685,Explain how Networking for a specific case.,Computer Science,Networking,Apply,Quiz,6,3.3,65.3,Medium
QID_14954,Describe Algorithms diagrammatically.,Computer Science,Algorithms,Apply,Final,21,3.2,63.8,Medium
QID_12232,List Statistics as defined in the textbook.,Mathematics,Statistics,Remember,Quiz,12,4.0,79.8,Easy
QID_16114,Evaluate the limitations of Networking under extreme constraints.,Computer Science,Networking,Evaluate,Quiz,20,2.4,47.3,Medium
QID_10932,Derive the formula for Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,Midterm,21,2.0,39.5,Hard
QID_18685,Explain how Optics diagrammatically.,Physics,Optics,Apply,Final,23,3.0,60.6,Medium
QID_19802,Hypothesize Geometry considering edge cases.,Mathematics,Geometry,Evaluate,Final,12,2.1,42.1,Hard
QID_14786,Outline Relativity for a specific case.,Physics,Relativity,Apply,Final,30,2.7,54.3,Medium
QID_12858,Calculate Networking for a specific case.,Computer Science,Networking,Apply,Quiz,25,2.6,52.9,Medium
QID_13154,Hypothesize Probability under extreme constraints.,Mathematics,Probability,Evaluate,Quiz,27,1.5,29.3,Hard
QID_21301,Calculate Calculus in a standard system.,Mathematics,Calculus,Apply,Quiz,19,2.8,56.5,Medium
QID_21204,Evaluate the limitations of Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,Midterm,7,2.1,42.7,Hard
QID_21573,Name Thermodynamics briefly.,Physics,Thermodynamics,Remember,Midterm,13,4.6,92.5,Easy
QID_13884,Hypothesize Relativity with mathematical proofs.,Physics,Relativity,Evaluate,Final,27,1.5,29.1,Hard
QID_17181,,Mathematics,Statistics,Remember,Quiz,11,4.4,87.2,Easy
QID_15893,List Data Structures briefly.,Computer Science,Data Structures,Remember,Final,18,4.8,95.4,Easy
QID_20329,Derive the formula for Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,Midterm,9,1.2,23.1,Hard
QID_12777,Critically analyze Calculus in distributed latency environments.,Mathematics,Calculus,Evaluate,Quiz,22,1.2,24.5,Hard
QID_18305,Hypothesize Optics in distributed latency environments.,Physics,Optics,Evaluate,Midterm,15,2.9,57.7,Medium
QID_17341,Critically analyze Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,Final,18,2.2,43.8,Hard
QID_13351,Define Geometry in simple terms.,Mathematics,Geometry,Remember,Quiz,7,4.7,93.6,Easy
QID_15082,Synthesize Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,Final,23,2.0,40.3,Hard
QID_15768,Calculate Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,Quiz,13,3.3,65.6,Medium
QID_13393,Outline Networking in a standard system.,Computer Science,Networking,Apply,Quiz,21,2.9,58.8,Medium
QID_19468,Name Linear Algebra in simple terms.,Mathematics,Linear Algebra,Remember,Midterm,6,4.5,90.1,Easy
QID_19625,Compare Mechanics in a standard system.,Physics,Mechanics,Apply,Midterm,5,3.1,62.2,Medium
QID_13501,Outline Relativity using an example.,Physics,Relativity,Apply,Midterm,29,2.2,44.8,Hard
QID_10218,Define Linear Algebra,Mathematics,Linear Algebra,Remember,Final,14,4.0,79.1,Easy
QID_18839,What is AI as defined in the textbook.,Computer Science,AI,Remember,Midterm,26,4.0,80.0,Easy
QID_21855,Explain how Data Structures diagrammatically.,Computer Science,Data Structures,Apply,Final,12,3.0,60.1,Medium
QID_17819,State Statistics in simple terms.,Mathematics,Statistics,Remember,Final,11,4.6,92.7,Easy
QID_11217,Identify AI in simple terms.,Computer Science,AI,Remember,Final,7,4.1,81.8,Easy
QID_12174,Critically analyze Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,Quiz,25,2.4,47.4,Medium
QID_20606,Hypothesize Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,Final,28,1.9,37.8,Hard
QID_14622,Synthesize AI under extreme constraints.,Computer Science,AI,Evaluate,Midterm,25,1.0,20.2,Hard
QID_18373,Outline Database in a standard system.,Computer Science,Database,Apply,Midterm,9,3.9,77.7,Easy
QID_19901,Explain how Networking in a standard system.,Computer Science,Networking,Apply,Midterm,22,2.7,54.2,Medium
QID_15228,Explain how Mechanics in a standard system.,Physics,Mechanics,Apply,Quiz,11,2.8,56.2,Medium
QID_12250,Synthesize Networking with mathematical proofs.,Computer Science,Networking,Evaluate,Quiz,23,1.2,24.9,Hard
QID_17585,What is Data Structures as defined in the textbook.,Computer Science,Data Structures,Remember,Final,5,4.1,82.5,Easy
QID_12128,List Calculus,Mathematics,Calculus,Remember,Final,12,3.9,78.0,Easy
QID_13115,Describe Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,Quiz,29,3.6,72.0,Medium
QID_18634,Calculate Statistics using an example.,Mathematics,Statistics,Apply,Final,17,3.7,73.8,Medium
QID_21579,Name Relativity in simple terms.,Physics,Relativity,Remember,Quiz,23,4.5,90.9,Easy
QID_18776,Explain how Algorithms diagrammatically.,Computer Science,Algorithms,Apply,Final,23,2.8,55.1,Medium
QID_14193,Hypothesize Statistics considering edge cases.,Mathematics,Statistics,Evaluate,Final,19,1.1,22.1,Hard
QID_20706,Name Geometry briefly.,Mathematics,Geometry,Remember,Quiz,10,4.1,82.9,Easy
QID_13919,State Probability as defined in the textbook.,Mathematics,Probability,Remember,Midterm,21,4.1,81.2,Easy
QID_15883,Hypothesize Database in distributed latency environments.,Computer Science,Database,Evaluate,Midterm,14,1.7,34.4,Hard
QID_17442,Critically analyze Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,Quiz,9,1.7,33.6,Hard
QID_20510,Outline Algorithms in a standard system.,Computer Science,Algorithms,Apply,Quiz,7,3.1,62.9,Medium
QID_13989,Identify Geometry in simple terms.,Mathematics,Geometry,Remember,Quiz,13,4.9,97.7,Easy
QID_15721,Evaluate the limitations of Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,Midterm,12,2.1,41.5,Hard
QID_14341,List Algorithms,Computer Science,Algorithms,Remember,Midterm,11,4.1,82.3,Easy
QID_16558,Identify Statistics as defined in the textbook.,Mathematics,Statistics,Remember,Final,17,4.5,91.0,Easy
QID_14696,Hypothesize AI with mathematical proofs.,Computer Science,AI,Evaluate,Final,23,2.8,56.0,Medium
QID_13448,Hypothesize Thermodynamics considering edge cases.,Physics,Thermodynamics,Evaluate,Quiz,14,1.4,27.1,Hard
QID_15712,Identify Algorithms briefly.,Computer Science,Algorithms,Remember,Final,5,4.5,90.1,Easy
QID_10200,Compare Geometry in a standard system.,Mathematics,Geometry,Apply,Final,23,3.4,67.5,Medium
QID_20328,Hypothesize Relativity under extreme constraints.,Physics,Relativity,Evaluate,Final,17,1.1,22.8,Hard
QID_11142,Evaluate the limitations of Networking in distributed latency environments.,Computer Science,Networking,Evaluate,Final,22,1.6,32.7,Hard
QID_12616,Compare Mechanics in a standard system.,Physics,Mechanics,Apply,Quiz,14,3.1,62.8,Medium
QID_15865,Name Data Structures briefly.,Computer Science,Data Structures,Remember,Quiz,23,4.7,93.3,Easy
QID_20933,State Algorithms as defined in the textbook.,Computer Science,Algorithms,Remember,Final,12,4.0,79.9,Easy
QID_21600,Describe Probability diagrammatically.,Mathematics,Probability,Apply,Quiz,29,2.6,51.9,Medium
QID_21619,Derive the formula for Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,Quiz,16,1.7,33.3,Hard
QID_13461,Explain how Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,Quiz,18,3.0,60.4,Medium
QID_21271,Synthesize AI in distributed latency environments.,Computer Science,AI,Evaluate,Midterm,12,2.1,42.2,Hard
QID_14074,Calculate Networking diagrammatically.,Computer Science,Networking,Apply,Midterm,30,3.6,71.7,Medium
QID_18703,Describe Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,Midterm,15,3.0,60.3,Medium
QID_12609,State Calculus in simple terms.,Mathematics,Calculus,Remember,Quiz,17,4.6,92.3,Easy
QID_18000,Identify Statistics briefly.,Mathematics,Statistics,Remember,Midterm,22,4.7,94.3,Easy
QID_13334,Describe AI in a standard system.,Computer Science,AI,Apply,Midterm,21,3.3,65.2,Medium
QID_16449,State Optics,Physics,Optics,Remember,Quiz,29,4.7,94.5,Easy
QID_14269,Hypothesize Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,Final,7,3.0,59.2,Medium
QID_17148,Outline Relativity using an example.,Physics,Relativity,Apply,Final,24,3.3,66.1,Medium
QID_19940,Describe Data Structures in a standard system.,Computer Science,Data Structures,Apply,Quiz,26,2.6,51.8,Medium
QID_19849,Compare Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,Midterm,5,2.6,51.3,Medium
QID_16330,Hypothesize Networking in distributed latency environments.,Computer Science,Networking,Evaluate,Final,8,0.6,12.5,Hard
QID_16311,Compare Data Structures in a standard system.,Computer Science,Data Structures,Apply,Midterm,6,3.0,60.6,Medium
QID_17675,Calculate Statistics for a specific case.,Mathematics,Statistics,Apply,Final,19,3.0,59.5,Medium
QID_17717,Explain how Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,Quiz,11,2.9,58.1,Medium
QID_14035,What is Optics briefly.,Physics,Optics,Remember,Final,15,4.2,84.0,Easy
QID_16950,Evaluate the limitations of Optics under extreme constraints.,Physics,Optics,Evaluate,Quiz,21,1.7,33.1,Hard
QID_10937,Critically analyze Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,Midterm,18,2.6,51.3,Medium
QID_12507,Outline Geometry using an example.,Mathematics,Geometry,Apply,Midterm,19,3.0,60.5,Medium
QID_10247,Describe Algorithms using an example.,Computer Science,Algorithms,Apply,Final,13,2.5,50.0,Medium
QID_12447,Calculate Calculus in a standard system.,Mathematics,Calculus,Apply,Quiz,11,3.3,66.5,Medium
QID_16791,,Computer Science,Database,Remember,Quiz,24,4.1,82.7,Easy
QID_13532,Hypothesize Relativity with mathematical proofs.,Physics,Relativity,Evaluate,Midterm,10,2.6,51.1,Medium
QID_14246,Describe Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,Quiz,15,3.0,60.0,Medium
QID_16956,Define Quantum Physics as defined in the textbook.,Physics,Quantum Physics,Remember,Quiz,19,4.8,95.9,Easy
QID_20034,Identify Calculus briefly.,Mathematics,Calculus,Remember,Final,12,4.6,91.4,Easy
QID_21186,Define Quantum Physics as defined in the textbook.,Physics,Quantum Physics,Remember,Midterm,12,4.4,88.4,Easy
QID_12417,Define Linear Algebra briefly.,Mathematics,Linear Algebra,Remember,Final,27,4.0,80.6,Easy
QID_16515,Describe Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,Final,25,2.8,55.2,Medium
QID_17746,Hypothesize Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,Final,9,1.9,38.4,Hard
QID_20837,What is Relativity as defined in the textbook.,Physics,Relativity,Remember,Final,17,4.5,89.8,Easy
QID_15372,Evaluate the limitations of Geometry under extreme constraints.,Mathematics,Geometry,Evaluate,Quiz,5,2.4,48.0,Medium
QID_12340,What is Database briefly.,Computer Science,Database,Remember,Final,15,4.8,96.0,Easy
QID_10971,Compare Geometry using an example.,Mathematics,Geometry,Apply,Midterm,14,3.2,64.4,Medium
QID_13495,Synthesize Probability in distributed latency environments.,Mathematics,Probability,Evaluate,Quiz,17,1.9,39.0,Hard
QID_11496,List AI briefly.,Computer Science,AI,Remember,Final,5,4.0,81.0,Easy
QID_13693,List Networking,Computer Science,Networking,Remember,Midterm,22,4.4,87.5,Easy
QID_19363,Name Linear Algebra as defined in the textbook.,Mathematics,Linear Algebra,Remember,Final,8,4.6,92.2,Easy
QID_20743,What is Quantum Physics as defined in the textbook.,Physics,Quantum Physics,Remember,Midterm,13,4.6,92.2,Easy
QID_20083,Critically analyze Relativity in distributed latency environments.,Physics,Relativity,Evaluate,Quiz,5,2.2,44.5,Hard
QID_10747,Synthesize Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,Midterm,19,2.0,40.5,Hard
QID_17028,Derive the formula for Relativity in distributed latency environments.,Physics,Relativity,Evaluate,Midterm,22,1.8,35.6,Hard
QID_21196,Compare Mechanics using an example.,Physics,Mechanics,Apply,Final,15,2.9,58.3,Medium
QID_10624,Define Geometry briefly.,Mathematics,Geometry,Remember,Midterm,28,4.6,92.5,Easy
QID_12124,Describe Data Structures diagrammatically.,Computer Science,Data Structures,Apply,Final,9,3.1,61.9,Medium
QID_18686,Synthesize Linear Algebra in distributed latency environments.,Mathematics,Linear Algebra,Evaluate,Final,17,2.1,41.8,Hard
QID_10099,Evaluate the limitations of Probability under extreme constraints.,Mathematics,Probability,Evaluate,Quiz,27,0.9,17.8,Hard
QID_17768,Define Thermodynamics in simple terms.,Physics,Thermodynamics,Remember,Final,29,4.6,92.1,Easy
QID_13846,Calculate Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,Final,7,2.4,48.1,Medium
QID_10538,Describe Mechanics in a standard system.,Physics,Mechanics,Apply,Final,17,2.6,52.5,Medium
QID_12519,Compare Optics using an example.,Physics,Optics,Apply,Midterm,10,2.5,50.4,Medium
QID_16312,Evaluate the limitations of Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,Final,5,2.2,44.6,Hard
QID_15792,State Networking briefly.,Computer Science,Networking,Remember,Final,12,4.7,93.8,Easy
QID_12715,State Linear Algebra in simple terms.,Mathematics,Linear Algebra,Remember,Final,6,4.5,90.2,Easy
QID_20096,Define AI briefly.,Computer Science,AI,Remember,Final,18,4.5,89.2,Easy
QID_16022,Compare Algorithms for a specific case.,Computer Science,Algorithms,Apply,Final,21,3.1,62.1,Medium
QID_15211,Define Data Structures in simple terms.,Computer Science,Data Structures,Remember,Final,8,4.8,95.8,Easy
QID_19052,Synthesize Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,Midterm,11,1.3,26.0,Hard
QID_14721,Compare Relativity for a specific case.,Physics,Relativity,Apply,Final,10,3.0,60.6,Medium
QID_20005,Derive the formula for Relativity with mathematical proofs.,Physics,Relativity,Evaluate,Quiz,29,1.9,38.4,Hard
QID_21859,Identify Linear Algebra briefly.,Mathematics,Linear Algebra,Remember,Final,20,4.2,83.6,Easy
QID_15022,Outline Mechanics using an example.,Physics,Mechanics,Apply,Quiz,21,2.7,53.8,Medium
QID_15378,Critically analyze Algorithms considering edge cases.,Computer Science,Algorithms,Evaluate,Quiz,29,3.0,60.0,Medium
QID_19705,Outline Relativity using an example.,Physics,Relativity,Apply,Final,11,2.6,52.2,Medium
QID_12873,Evaluate the limitations of Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,Midterm,28,0.9,19.0,Hard
QID_16684,Synthesize Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,Midterm,14,1.7,33.3,Hard
QID_11006,Define Statistics briefly.,Mathematics,Statistics,Remember,Midterm,29,4.6,91.7,Easy
QID_13822,Hypothesize Relativity in distributed latency environments.,Physics,Relativity,Evaluate,Midterm,13,2.5,50.1,Medium
QID_19336,Compare Relativity in a standard system.,Physics,Relativity,Apply,Final,7,2.8,55.8,Medium
QID_14991,Derive the formula for Networking considering edge cases.,Computer Science,Networking,Evaluate,Final,23,1.7,34.2,Hard
QID_15665,Describe Geometry for a specific case.,Mathematics,Geometry,Apply,Midterm,17,3.3,65.5,Medium
QID_18507,Critically analyze Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,Quiz,16,1.6,32.6,Hard
QID_12813,Evaluate the limitations of Relativity under extreme constraints.,Physics,Relativity,Evaluate,Final,11,1.7,34.2,Hard
QID_20855,Compare Probability diagrammatically.,Mathematics,Probability,Apply,Final,29,2.9,57.7,Medium
QID_11621,Hypothesize Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,Quiz,30,1.4,27.5,Hard
QID_16717,Explain how Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,Quiz,22,3.8,76.5,Easy
QID_12271,Explain how Networking using an example.,Computer Science,Networking,Apply,Final,16,3.2,64.5,Medium
QID_15697,State Geometry,Mathematics,Geometry,Remember,Quiz,24,4.3,85.7,Easy
QID_20455,Illustrate Database diagrammatically.,Computer Science,Database,Apply,Quiz,26,3.0,60.0,Medium
QID_12145,Synthesize Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,Midterm,8,2.2,43.7,Hard
QID_16383,List Linear Algebra briefly.,Mathematics,Linear Algebra,Remember,Quiz,15,4.3,86.8,Easy
QID_17613,Calculate Geometry for a specific case.,Mathematics,Geometry,Apply,Quiz,11,3.8,75.3,Easy
QID_13710,Critically analyze Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,Final,17,0.2,4.4,Hard
QID_21056,,Mathematics,Linear Algebra,Apply,Midterm,22,3.0,60.9,Medium
QID_15924,Critically analyze Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,Midterm,20,1.9,37.7,Hard
QID_18364,Calculate Calculus for a specific case.,Mathematics,Calculus,Apply,Final,18,3.3,66.1,Medium
QID_15163,Outline Geometry diagrammatically.,Mathematics,Geometry,Apply,Quiz,28,3.0,60.6,Medium
QID_12020,Compare Mechanics in a standard system.,Physics,Mechanics,Apply,Midterm,13,2.9,57.4,Medium
QID_21799,Derive the formula for Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,Quiz,18,1.9,37.1,Hard
QID_10311,Illustrate Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,Midterm,22,3.1,62.6,Medium
QID_14123,Synthesize Database under extreme constraints.,Computer Science,Database,Evaluate,Quiz,26,1.2,24.7,Hard
QID_18398,Synthesize AI considering edge cases.,Computer Science,AI,Evaluate,Midterm,28,1.8,35.8,Hard
QID_14851,Explain how Calculus in a standard system.,Mathematics,Calculus,Apply,Final,15,3.5,70.6,Medium
QID_15771,Define Calculus as defined in the textbook.,Mathematics,Calculus,Remember,Quiz,8,4.4,88.5,Easy
QID_10473,Synthesize Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,Midterm,28,0.8,15.8,Hard
QID_19613,Hypothesize Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,Quiz,9,1.6,32.7,Hard
QID_21953,Compare Relativity for a specific case.,Physics,Relativity,Apply,Midterm,6,2.6,51.4,Medium
QID_11795,Synthesize AI with mathematical proofs.,Computer Science,AI,Evaluate,Quiz,26,2.5,49.5,Medium
QID_10850,What is Linear Algebra as defined in the textbook.,Mathematics,Linear Algebra,Remember,Midterm,10,4.2,83.2,Easy
QID_17393,Illustrate AI using an example.,Computer Science,AI,Apply,Midterm,29,2.9,58.1,Medium
QID_15235,Define Calculus,Mathematics,Calculus,Remember,Quiz,29,4.9,98.4,Easy
QID_18823,Name Probability briefly.,Mathematics,Probability,Remember,Midterm,15,4.2,84.2,Easy
QID_12993,Define Database briefly.,Computer Science,Database,Remember,Quiz,10,4.5,90.7,Easy
QID_12688,List Networking as defined in the textbook.,Computer Science,Networking,Remember,Final,27,4.0,80.3,Easy
QID_18495,Hypothesize Networking in distributed latency environments.,Computer Science,Networking,Evaluate,Final,30,1.7,34.8,Hard
QID_10102,Illustrate Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,Midterm,28,2.5,50.7,Medium
QID_19258,,Mathematics,Linear Algebra,Evaluate,Final,28,1.7,34.3,Hard
QID_15719,Identify Calculus as defined in the textbook.,Mathematics,Calculus,Remember,Quiz,13,4.3,85.4,Easy
QID_19549,Illustrate Probability for a specific case.,Mathematics,Probability,Apply,Quiz,5,2.6,51.8,Medium
QID_14007,Synthesize Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,Quiz,28,2.1,42.4,Hard
QID_18449,Describe Networking in a standard system.,Computer Science,Networking,Apply,Midterm,14,2.9,58.9,Medium
QID_15224,Identify Probability as defined in the textbook.,Mathematics,Probability,Remember,Final,16,4.1,81.2,Easy
QID_17371,Hypothesize Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,Midterm,28,2.3,45.1,Medium
QID_16415,Describe Networking for a specific case.,Computer Science,Networking,Apply,Final,13,2.9,58.9,Medium
QID_14053,Synthesize Optics with mathematical proofs.,Physics,Optics,Evaluate,Quiz,12,2.4,47.7,Medium
QID_10772,Explain how AI in a standard system.,Computer Science,AI,Apply,Midterm,15,1.9,37.9,Hard
QID_11355,Evaluate the limitations of Relativity considering edge cases.,Physics,Relativity,Evaluate,Final,15,1.9,38.6,Hard
QID_17469,Compare Calculus using an example.,Mathematics,Calculus,Apply,Final,10,2.6,51.9,Medium
QID_19055,Calculate Geometry diagrammatically.,Mathematics,Geometry,Apply,Final,7,3.1,62.9,Medium
QID_18849,Evaluate the limitations of Linear Algebra considering edge cases.,Mathematics,Linear Algebra,Evaluate,Final,5,1.5,30.3,Hard
QID_10379,Compare Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,Midterm,17,2.9,57.0,Medium
QID_16249,Compare Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,Quiz,29,3.2,64.7,Medium
QID_11414,Outline AI in a standard system.,Computer Science,AI,Apply,Final,9,3.1,61.2,Medium
QID_11669,Derive the formula for Database in distributed latency environments.,Computer Science,Database,Evaluate,Quiz,5,1.9,37.7,Hard
QID_10736,Compare Relativity for a specific case.,Physics,Relativity,Apply,Quiz,22,3.1,62.7,Medium
QID_21070,Critically analyze Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,Midterm,14,1.0,20.8,Hard
QID_16843,Describe Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,Quiz,6,2.8,56.1,Medium
QID_13002,Calculate Mechanics diagrammatically.,Physics,Mechanics,Apply,Final,17,3.2,64.9,Medium
QID_18316,Evaluate the limitations of Database considering edge cases.,Computer Science,Database,Evaluate,Final,18,1.7,34.6,Hard
QID_14299,Critically analyze Optics considering edge cases.,Physics,Optics,Evaluate,Quiz,15,1.1,21.5,Hard
QID_14684,Derive the formula for Database under extreme constraints.,Computer Science,Database,Evaluate,Midterm,21,1.7,33.5,Hard
QID_18526,Compare Optics for a specific case.,Physics,Optics,Apply,Midterm,21,3.0,59.1,Medium
QID_16159,Calculate AI in a standard system.,Computer Science,AI,Apply,Midterm,19,3.1,61.3,Medium
QID_16118,Outline Geometry using an example.,Mathematics,Geometry,Apply,Quiz,5,2.9,58.7,Medium
QID_17926,What is Data Structures,Computer Science,Data Structures,Remember,Quiz,26,4.8,96.6,Easy
