Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Historical_Pass_Rate,Difficulty_Level
Illustrate AI in a standard system.,Computer Science,AI,Apply,58.6,Medium
Compare Data Structures diagrammatically.,Computer Science,Data Structures,Apply,59.1,Medium
Illustrate Data Structures for a specific case.,Computer Science,Data Structures,Apply,67.9,Medium
Differentiate between Calculus diagrammatically.,Mathematics,Calculus,Apply,56.2,Medium
Propose a solution for Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,19.3,Hard
State Thermodynamics in simple terms?,Physics,Thermodynamics,Remember,95.0,Easy
Name Optics as defined in the textbook?,Physics,Optics,Remember,81.5,Easy
Compare AI in practice.,Computer Science,AI,Apply,74.5,Medium
Name Relativity in simple terms?,Physics,Relativity,Remember,76.9,Easy
Derive the formula for AI in distributed latency environments.,Computer Science,AI,Evaluate,46.3,Medium
Explain how Mechanics diagrammatically.,Physics,Mechanics,Apply,52.5,Medium
Compare Database using an example.,Computer Science,Database,Apply,73.6,Medium
Calculate Geometry in a standard system.,Mathematics,Geometry,Apply,62.0,Medium
Define Geometry in simple terms?,Mathematics,Geometry,Remember,77.2,Easy
Calculate Database in practice.,Computer Science,Database,Apply,67.2,Medium
What is Statistics briefly?,Mathematics,Statistics,Remember,100.0,Easy
What is Statistics in simple terms?,Mathematics,Statistics,Remember,90.3,Easy
Define Linear Algebra as defined in the textbook?,Mathematics,Linear Algebra,Remember,100.0,Easy
Define Linear Algebra,Mathematics,Linear Algebra,Remember,96.4,Easy
State Relativity,Physics,Relativity,Remember,94.3,Easy
Identify Probability according to basic principles?,Mathematics,Probability,Remember,87.5,Easy
Which of these is AI in simple terms?,Computer Science,AI,Remember,88.4,Easy
Outline Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,61.4,Medium
State Optics briefly?,Physics,Optics,Remember,86.6,Easy
Which of these is Statistics,Mathematics,Statistics,Remember,90.8,Easy
Which of these is Thermodynamics according to basic principles?,Physics,Thermodynamics,Remember,82.8,Easy
Illustrate Geometry in a standard system.,Mathematics,Geometry,Apply,53.5,Medium
Illustrate AI in a standard system.,Computer Science,AI,Apply,60.9,Medium
Calculate Statistics using an example.,Mathematics,Statistics,Apply,67.0,Medium
Compare Thermodynamics using an example.,Physics,Thermodynamics,Apply,68.4,Medium
Describe Statistics in a standard system.,Mathematics,Statistics,Apply,73.7,Medium
Compare Calculus for a specific case.,Mathematics,Calculus,Apply,59.7,Medium
Describe Probability for a specific case.,Mathematics,Probability,Apply,78.0,Easy
Identify Quantum Physics,Physics,Quantum Physics,Remember,100.0,Easy
Name Linear Algebra as defined in the textbook?,Mathematics,Linear Algebra,Remember,76.1,Easy
Propose a solution for Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,19.0,Hard
Identify Calculus as defined in the textbook?,Mathematics,Calculus,Remember,94.5,Easy
Synthesize Thermodynamics in distributed latency environments.,Physics,Thermodynamics,Evaluate,21.1,Hard
Describe Algorithms diagrammatically.,Computer Science,Algorithms,Apply,62.0,Medium
Describe Optics diagrammatically.,Physics,Optics,Apply,50.9,Medium
Which of these is Linear Algebra according to basic principles?,Mathematics,Linear Algebra,Remember,88.6,Easy
State Mechanics in simple terms?,Physics,Mechanics,Remember,82.3,Easy
Outline Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,59.4,Medium
List AI briefly?,Computer Science,AI,Remember,77.4,Easy
Name Thermodynamics,Physics,Thermodynamics,Remember,86.7,Easy
Critically analyze Optics under extreme constraints.,Physics,Optics,Evaluate,45.1,Medium
State Quantum Physics briefly?,Physics,Quantum Physics,Remember,75.6,Easy
Describe Quantum Physics in practice.,Physics,Quantum Physics,Apply,61.6,Medium
Synthesize Statistics under extreme constraints.,Mathematics,Statistics,Evaluate,30.1,Hard
Synthesize Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,45.2,Medium
State Probability briefly?,Mathematics,Probability,Remember,97.9,Easy
Compare Mechanics in practice.,Physics,Mechanics,Apply,47.8,Medium
What is Thermodynamics briefly?,Physics,Thermodynamics,Remember,92.2,Easy
State Relativity briefly?,Physics,Relativity,Remember,96.4,Easy
Which of these is Geometry in simple terms?,Mathematics,Geometry,Remember,84.6,Easy
Define Probability as defined in the textbook?,Mathematics,Probability,Remember,87.2,Easy
Which of these is Relativity in simple terms?,Physics,Relativity,Remember,92.8,Easy
Calculate Optics using an example.,Physics,Optics,Apply,56.2,Medium
Critically analyze AI assuming failure modes.,Computer Science,AI,Evaluate,35.1,Hard
State Optics briefly?,Physics,Optics,Remember,78.5,Easy
Hypothesize Statistics considering edge cases.,Mathematics,Statistics,Evaluate,29.8,Hard
Compare Statistics in practice.,Mathematics,Statistics,Apply,48.7,Medium
Synthesize Calculus in distributed latency environments.,Mathematics,Calculus,Evaluate,45.4,Medium
Describe Quantum Physics in a standard system.,Physics,Quantum Physics,Apply,39.6,Hard
List Networking according to basic principles?,Computer Science,Networking,Remember,87.4,Easy
Describe Optics in practice.,Physics,Optics,Apply,68.3,Medium
Define Geometry,Mathematics,Geometry,Remember,91.1,Easy
Calculate Optics for a specific case.,Physics,Optics,Apply,41.7,Hard
Compare Data Structures diagrammatically.,Computer Science,Data Structures,Apply,65.7,Medium
Define Linear Algebra in simple terms?,Mathematics,Linear Algebra,Remember,89.1,Easy
Identify Geometry in simple terms?,Mathematics,Geometry,Remember,82.1,Easy
Calculate Data Structures using an example.,Computer Science,Data Structures,Apply,53.1,Medium
Name Mechanics in simple terms?,Physics,Mechanics,Remember,100.0,Easy
Calculate AI using an example.,Computer Science,AI,Apply,59.7,Medium
Evaluate the limitations of Relativity with mathematical proofs.,Physics,Relativity,Evaluate,35.8,Hard
Derive the formula for Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,27.0,Hard
Identify Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,84.0,Easy
Calculate Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,55.0,Medium
List Quantum Physics according to basic principles?,Physics,Quantum Physics,Remember,76.6,Easy
Differentiate between Data Structures for a specific case.,Computer Science,Data Structures,Apply,63.2,Medium
Name Networking as defined in the textbook?,Computer Science,Networking,Remember,91.0,Easy
Illustrate Mechanics in practice.,Physics,Mechanics,Apply,75.1,Easy
Differentiate between Thermodynamics using an example.,Physics,Thermodynamics,Apply,24.9,Hard
Differentiate between Database in practice.,Computer Science,Database,Apply,66.3,Medium
Derive the formula for Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,41.8,Hard
Evaluate the limitations of Relativity assuming failure modes.,Physics,Relativity,Evaluate,39.9,Hard
Explain how Mechanics using an example.,Physics,Mechanics,Apply,59.6,Medium
Name Statistics in simple terms?,Mathematics,Statistics,Remember,94.3,Easy
Evaluate the limitations of Optics under extreme constraints.,Physics,Optics,Evaluate,26.1,Hard
,Physics,Relativity,Evaluate,50.5,Medium
Propose a solution for Quantum Physics in distributed latency environments.,Physics,Quantum Physics,Evaluate,28.0,Hard
Define Optics briefly?,Physics,Optics,Remember,90.0,Easy
Identify Geometry as defined in the textbook?,Mathematics,Geometry,Remember,79.6,Easy
Derive the formula for Database with mathematical proofs.,Computer Science,Database,Evaluate,19.3,Hard
Hypothesize Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,39.0,Hard
Evaluate the limitations of Relativity assuming failure modes.,Physics,Relativity,Evaluate,19.4,Hard
Compare Database in practice.,Computer Science,Database,Apply,57.0,Medium
Critically analyze Database considering edge cases.,Computer Science,Database,Evaluate,37.0,Hard
Differentiate between Optics for a specific case.,Physics,Optics,Apply,54.7,Medium
Synthesize Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,31.8,Hard
Define Optics according to basic principles?,Physics,Optics,Remember,79.5,Easy
Synthesize Probability with mathematical proofs.,Mathematics,Probability,Evaluate,40.4,Hard
Derive the formula for Relativity considering edge cases.,Physics,Relativity,Evaluate,22.9,Hard
Calculate Statistics in a standard system.,Mathematics,Statistics,Apply,57.4,Medium
Identify Optics,Physics,Optics,Remember,81.9,Easy
Which of these is Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,85.6,Easy
Derive the formula for Thermodynamics considering edge cases.,Physics,Thermodynamics,Evaluate,50.7,Medium
List Linear Algebra in simple terms?,Mathematics,Linear Algebra,Remember,85.2,Easy
Identify Relativity,Physics,Relativity,Remember,91.9,Easy
Critically analyze Geometry under extreme constraints.,Mathematics,Geometry,Evaluate,38.6,Hard
Which of these is Quantum Physics as defined in the textbook?,Physics,Quantum Physics,Remember,86.5,Easy
Evaluate the limitations of Geometry assuming failure modes.,Mathematics,Geometry,Evaluate,41.2,Hard
Define Networking briefly?,Computer Science,Networking,Remember,89.6,Easy
Critically analyze Relativity assuming failure modes.,Physics,Relativity,Evaluate,36.9,Hard
Identify Thermodynamics according to basic principles?,Physics,Thermodynamics,Remember,82.7,Easy
Define Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,89.3,Easy
Calculate Probability using an example.,Mathematics,Probability,Apply,60.0,Medium
Outline Mechanics using an example.,Physics,Mechanics,Apply,66.2,Medium
State Optics in simple terms?,Physics,Optics,Remember,89.4,Easy
Illustrate Algorithms using an example.,Computer Science,Algorithms,Apply,46.1,Medium
Describe AI diagrammatically.,Computer Science,AI,Apply,54.1,Medium
State Thermodynamics,Physics,Thermodynamics,Remember,89.2,Easy
List Optics briefly?,Physics,Optics,Remember,71.1,Medium
Outline Calculus diagrammatically.,Mathematics,Calculus,Apply,67.5,Medium
List Database,Computer Science,Database,Remember,81.5,Easy
Evaluate the limitations of Calculus assuming failure modes.,Mathematics,Calculus,Evaluate,33.5,Hard
Differentiate between AI for a specific case.,Computer Science,AI,Apply,63.0,Medium
Identify Thermodynamics as defined in the textbook?,Physics,Thermodynamics,Remember,72.1,Medium
Propose a solution for Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,29.1,Hard
Compare Algorithms in a standard system.,Computer Science,Algorithms,Apply,65.5,Medium
Calculate AI in a standard system.,Computer Science,AI,Apply,55.5,Medium
Outline Calculus in a standard system.,Mathematics,Calculus,Apply,43.8,Hard
What is Algorithms in simple terms?,Computer Science,Algorithms,Remember,85.6,Easy
Describe Quantum Physics in practice.,Physics,Quantum Physics,Apply,69.5,Medium
Name Calculus according to basic principles?,Mathematics,Calculus,Remember,90.4,Easy
Evaluate the limitations of Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,28.6,Hard
Synthesize Probability considering edge cases.,Mathematics,Probability,Evaluate,38.0,Hard
Which of these is AI as defined in the textbook?,Computer Science,AI,Remember,74.6,Medium
Name Statistics in simple terms?,Mathematics,Statistics,Remember,94.3,Easy
Outline Statistics in a standard system.,Mathematics,Statistics,Apply,71.3,Medium
Differentiate between Optics in a standard system.,Physics,Optics,Apply,50.1,Medium
Critically analyze Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,25.6,Hard
Identify Networking,Computer Science,Networking,Remember,94.4,Easy
What is Optics according to basic principles?,Physics,Optics,Remember,93.9,Easy
Outline Linear Algebra in practice.,Mathematics,Linear Algebra,Apply,63.0,Medium
Name Algorithms in simple terms?,Computer Science,Algorithms,Remember,100.0,Easy
Propose a solution for Thermodynamics considering edge cases.,Physics,Thermodynamics,Evaluate,36.4,Hard
Outline Database using an example.,Computer Science,Database,Apply,79.7,Easy
Calculate Statistics using an example.,Mathematics,Statistics,Apply,65.0,Medium
State Statistics in simple terms?,Mathematics,Statistics,Remember,91.9,Easy
Outline Optics in practice.,Physics,Optics,Apply,65.3,Medium
Propose a solution for Relativity in distributed latency environments.,Physics,Relativity,Evaluate,43.3,Hard
What is Probability,Mathematics,Probability,Remember,85.7,Easy
Illustrate Probability using an example.,Mathematics,Probability,Apply,47.8,Medium
Propose a solution for Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,14.1,Hard
Define Geometry,Mathematics,Geometry,Remember,78.8,Easy
List AI as defined in the textbook?,Computer Science,AI,Remember,82.6,Easy
Illustrate Database for a specific case.,Computer Science,Database,Apply,70.9,Medium
Which of these is Database in simple terms?,Computer Science,Database,Remember,89.0,Easy
Describe Statistics diagrammatically.,Mathematics,Statistics,Apply,52.6,Medium
Critically analyze Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,18.0,Hard
Outline Relativity for a specific case.,Physics,Relativity,Apply,52.5,Medium
What is Optics briefly?,Physics,Optics,Remember,80.9,Easy
Define Relativity,Physics,Relativity,Remember,96.8,Easy
Name Probability briefly?,Mathematics,Probability,Remember,91.3,Easy
Identify Probability briefly?,Mathematics,Probability,Remember,88.5,Easy
Identify Statistics briefly?,Mathematics,Statistics,Remember,89.8,Easy
Identify Geometry in simple terms?,Mathematics,Geometry,Remember,100.0,Easy
Illustrate Networking diagrammatically.,Computer Science,Networking,Apply,71.4,Medium
Propose a solution for Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,32.7,Hard
Synthesize Thermodynamics assuming failure modes.,Physics,Thermodynamics,Evaluate,23.6,Hard
Synthesize Relativity assuming failure modes.,Physics,Relativity,Evaluate,37.9,Hard
Which of these is Statistics briefly?,Mathematics,Statistics,Remember,78.7,Easy
Critically analyze Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,42.3,Hard
Compare AI for a specific case.,Computer Science,AI,Apply,60.5,Medium
Propose a solution for Networking under extreme constraints.,Computer Science,Networking,Evaluate,28.5,Hard
What is Geometry as defined in the textbook?,Mathematics,Geometry,Remember,100.0,Easy
State Database as defined in the textbook?,Computer Science,Database,Remember,85.2,Easy
Critically analyze Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,48.9,Medium
Identify Data Structures,Computer Science,Data Structures,Remember,83.0,Easy
State Networking in simple terms?,Computer Science,Networking,Remember,89.5,Easy
Define Data Structures,Computer Science,Data Structures,Remember,82.4,Easy
Hypothesize Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,33.0,Hard
Describe Calculus diagrammatically.,Mathematics,Calculus,Apply,67.5,Medium
Define Geometry as defined in the textbook?,Mathematics,Geometry,Remember,84.7,Easy
Which of these is Networking briefly?,Computer Science,Networking,Remember,89.5,Easy
Propose a solution for Calculus considering edge cases.,Mathematics,Calculus,Evaluate,42.5,Hard
Calculate Networking using an example.,Computer Science,Networking,Apply,59.0,Medium
Evaluate the limitations of Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,26.0,Hard
Illustrate Networking diagrammatically.,Computer Science,Networking,Apply,66.5,Medium
List Linear Algebra in simple terms?,Mathematics,Linear Algebra,Remember,81.9,Easy
What is Quantum Physics according to basic principles?,Physics,Quantum Physics,Remember,89.7,Easy
Compare Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,45.1,Medium
Identify Mechanics according to basic principles?,Physics,Mechanics,Remember,92.4,Easy
Define Statistics according to basic principles?,Mathematics,Statistics,Remember,83.5,Easy
State Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,86.6,Easy
State Networking in simple terms?,Computer Science,Networking,Remember,86.1,Easy
State Optics in simple terms?,Physics,Optics,Remember,89.9,Easy
List Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,83.2,Easy
Synthesize Optics with mathematical proofs.,Physics,Optics,Evaluate,22.9,Hard
What is Relativity in simple terms?,Physics,Relativity,Remember,84.6,Easy
Hypothesize Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,44.9,Hard
Calculate Probability using an example.,Mathematics,Probability,Apply,64.2,Medium
Compare AI in a standard system.,Computer Science,AI,Apply,56.2,Medium
Describe Calculus in practice.,Mathematics,Calculus,Apply,75.9,Easy
Compare Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,75.3,Easy
Hypothesize Probability with mathematical proofs.,Mathematics,Probability,Evaluate,39.5,Hard
Describe Calculus using an example.,Mathematics,Calculus,Apply,73.8,Medium
Outline Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,66.0,Medium
Name Networking according to basic principles?,Computer Science,Networking,Remember,81.2,Easy
Outline Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,68.7,Medium
Which of these is Thermodynamics according to basic principles?,Physics,Thermodynamics,Remember,85.0,Easy
Derive the formula for Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,15.8,Hard
Derive the formula for Quantum Physics assuming failure modes.,Physics,Quantum Physics,Evaluate,31.2,Hard
Identify Calculus,Mathematics,Calculus,Remember,90.4,Easy
Derive the formula for Probability with mathematical proofs.,Mathematics,Probability,Evaluate,39.2,Hard
Which of these is Probability,Mathematics,Probability,Remember,87.5,Easy
Hypothesize Optics under extreme constraints.,Physics,Optics,Evaluate,25.3,Hard
What is Database according to basic principles?,Computer Science,Database,Remember,84.0,Easy
Illustrate Relativity diagrammatically.,Physics,Relativity,Apply,47.4,Medium
Critically analyze Optics under extreme constraints.,Physics,Optics,Evaluate,36.2,Hard
Critically analyze Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,43.4,Hard
State Optics,Physics,Optics,Remember,84.6,Easy
Differentiate between Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,59.5,Medium
Synthesize Linear Algebra considering edge cases.,Mathematics,Linear Algebra,Evaluate,45.8,Medium
Derive the formula for AI with mathematical proofs.,Computer Science,AI,Evaluate,38.2,Hard
Derive the formula for Calculus considering edge cases.,Mathematics,Calculus,Evaluate,39.6,Hard
Propose a solution for Relativity considering edge cases.,Physics,Relativity,Evaluate,45.9,Medium
Which of these is Networking briefly?,Computer Science,Networking,Remember,88.0,Easy
Propose a solution for Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,34.6,Hard
Which of these is Thermodynamics according to basic principles?,Physics,Thermodynamics,Remember,85.0,Easy
Explain how Statistics in practice.,Mathematics,Statistics,Apply,80.8,Easy
Illustrate Statistics in a standard system.,Mathematics,Statistics,Apply,66.8,Medium
List Thermodynamics in simple terms?,Physics,Thermodynamics,Remember,91.7,Easy
Critically analyze Relativity in distributed latency environments.,Physics,Relativity,Evaluate,31.4,Hard
What is Relativity briefly?,Physics,Relativity,Remember,96.6,Easy
Illustrate Thermodynamics for a specific case.,Physics,Thermodynamics,Apply,60.3,Medium
Outline Linear Algebra in practice.,Mathematics,Linear Algebra,Apply,63.0,Medium
Propose a solution for Optics in distributed latency environments.,Physics,Optics,Evaluate,24.7,Hard
Critically analyze Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,40.9,Hard
Outline Algorithms for a specific case.,Computer Science,Algorithms,Apply,45.9,Medium
Name Geometry in simple terms?,Mathematics,Geometry,Remember,91.8,Easy
State Database according to basic principles?,Computer Science,Database,Remember,75.5,Easy
Hypothesize Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,36.9,Hard
State Relativity,Physics,Relativity,Remember,92.0,Easy
Derive the formula for Probability in distributed latency environments.,Mathematics,Probability,Evaluate,35.9,Hard
Derive the formula for Statistics with mathematical proofs.,Mathematics,Statistics,Evaluate,32.5,Hard
Propose a solution for Quantum Physics assuming failure modes.,Physics,Quantum Physics,Evaluate,43.8,Hard
List Networking briefly?,Computer Science,Networking,Remember,88.8,Easy
Derive the formula for Probability with mathematical proofs.,Mathematics,Probability,Evaluate,27.2,Hard
Name Data Structures in simple terms?,Computer Science,Data Structures,Remember,97.7,Easy
Propose a solution for Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,25.5,Hard
Outline Calculus in a standard system.,Mathematics,Calculus,Apply,69.8,Medium
Identify Relativity briefly?,Physics,Relativity,Remember,86.0,Easy
Hypothesize Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,36.2,Hard
Identify Data Structures,Computer Science,Data Structures,Remember,69.3,Medium
Illustrate Database in a standard system.,Computer Science,Database,Apply,34.5,Hard
Identify Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,75.8,Easy
Hypothesize Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,43.9,Hard
Critically analyze Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,23.9,Hard
Derive the formula for Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,26.9,Hard
Explain how Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,54.5,Medium
What is Thermodynamics in simple terms?,Physics,Thermodynamics,Remember,90.3,Easy
Critically analyze Database in distributed latency environments.,Computer Science,Database,Evaluate,30.2,Hard
Calculate Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,57.1,Medium
Describe Geometry using an example.,Mathematics,Geometry,Apply,53.0,Medium
Hypothesize Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,46.8,Medium
Propose a solution for Networking assuming failure modes.,Computer Science,Networking,Evaluate,41.9,Hard
Evaluate the limitations of Database assuming failure modes.,Computer Science,Database,Evaluate,28.8,Hard
Describe Statistics diagrammatically.,Mathematics,Statistics,Apply,50.0,Medium
Illustrate Calculus diagrammatically.,Mathematics,Calculus,Apply,68.9,Medium
Compare Geometry in practice.,Mathematics,Geometry,Apply,48.3,Medium
Which of these is Relativity briefly?,Physics,Relativity,Remember,84.4,Easy
Critically analyze Networking assuming failure modes.,Computer Science,Networking,Evaluate,36.2,Hard
Differentiate between Quantum Physics in practice.,Physics,Quantum Physics,Apply,55.8,Medium
Outline Geometry using an example.,Mathematics,Geometry,Apply,70.2,Medium
Illustrate Data Structures in a standard system.,Computer Science,Data Structures,Apply,67.1,Medium
Derive the formula for Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,25.0,Hard
Propose a solution for Database with mathematical proofs.,Computer Science,Database,Evaluate,33.4,Hard
Identify Data Structures briefly?,Computer Science,Data Structures,Remember,100.0,Easy
Describe Probability diagrammatically.,Mathematics,Probability,Apply,59.3,Medium
List Calculus briefly?,Mathematics,Calculus,Remember,81.4,Easy
Calculate Algorithms in a standard system.,Computer Science,Algorithms,Apply,65.8,Medium
Evaluate the limitations of Database under extreme constraints.,Computer Science,Database,Evaluate,33.4,Hard
Outline Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,57.3,Medium
Outline AI in practice.,Computer Science,AI,Apply,54.6,Medium
Synthesize Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,38.5,Hard
Identify Probability,Mathematics,Probability,Remember,84.4,Easy
Explain how Networking in a standard system.,Computer Science,Networking,Apply,66.1,Medium
Identify Relativity according to basic principles?,Physics,Relativity,Remember,80.2,Easy
Name Networking in simple terms?,Computer Science,Networking,Remember,81.2,Easy
State AI,Computer Science,AI,Remember,84.7,Easy
What is Probability in simple terms?,Mathematics,Probability,Remember,100.0,Easy
Derive the formula for Database assuming failure modes.,Computer Science,Database,Evaluate,23.5,Hard
Identify Mechanics according to basic principles?,Physics,Mechanics,Remember,74.8,Medium
Calculate Relativity for a specific case.,Physics,Relativity,Apply,58.2,Medium
,Computer Science,Networking,Apply,63.0,Medium
Identify Probability as defined in the textbook?,Mathematics,Probability,Remember,100.0,Easy
Synthesize Optics in distributed latency environments.,Physics,Optics,Evaluate,34.7,Hard
Synthesize Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,35.6,Hard
Critically analyze Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,30.4,Hard
What is Calculus briefly?,Mathematics,Calculus,Remember,87.9,Easy
Derive the formula for Calculus with mathematical proofs.,Mathematics,Calculus,Evaluate,32.0,Hard
List Networking as defined in the textbook?,Computer Science,Networking,Remember,91.1,Easy
Define Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,91.6,Easy
Synthesize Thermodynamics assuming failure modes.,Physics,Thermodynamics,Evaluate,32.2,Hard
Define Thermodynamics according to basic principles?,Physics,Thermodynamics,Remember,87.6,Easy
Compare Statistics in a standard system.,Mathematics,Statistics,Apply,53.5,Medium
Derive the formula for Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,39.8,Hard
Describe Data Structures in practice.,Computer Science,Data Structures,Apply,57.5,Medium
Calculate Statistics in practice.,Mathematics,Statistics,Apply,54.4,Medium
Synthesize Mechanics assuming failure modes.,Physics,Mechanics,Evaluate,14.5,Hard
What is AI,Computer Science,AI,Remember,74.1,Medium
Critically analyze Optics with mathematical proofs.,Physics,Optics,Evaluate,50.9,Medium
Calculate Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,81.1,Easy
Identify Database briefly?,Computer Science,Database,Remember,88.1,Easy
Evaluate the limitations of Probability considering edge cases.,Mathematics,Probability,Evaluate,46.5,Medium
State Algorithms according to basic principles?,Computer Science,Algorithms,Remember,87.5,Easy
Identify Calculus,Mathematics,Calculus,Remember,90.4,Easy
Differentiate between Database for a specific case.,Computer Science,Database,Apply,60.4,Medium
List Optics according to basic principles?,Physics,Optics,Remember,77.3,Easy
Identify Calculus in simple terms?,Mathematics,Calculus,Remember,88.8,Easy
Differentiate between Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,51.4,Medium
Calculate AI in practice.,Computer Science,AI,Apply,57.9,Medium
Define Relativity according to basic principles?,Physics,Relativity,Remember,93.1,Easy
Explain how Data Structures in practice.,Computer Science,Data Structures,Apply,54.2,Medium
Propose a solution for Optics under extreme constraints.,Physics,Optics,Evaluate,16.6,Hard
Name Networking as defined in the textbook?,Computer Science,Networking,Remember,80.8,Easy
Derive the formula for Quantum Physics considering edge cases.,Physics,Quantum Physics,Evaluate,31.3,Hard
Identify Database as defined in the textbook?,Computer Science,Database,Remember,89.6,Easy
Define Mechanics according to basic principles?,Physics,Mechanics,Remember,77.2,Easy
Compare Quantum Physics for a specific case.,Physics,Quantum Physics,Apply,61.3,Medium
Which of these is Relativity as defined in the textbook?,Physics,Relativity,Remember,74.4,Medium
Explain how Probability in practice.,Mathematics,Probability,Apply,76.6,Easy
Calculate AI in a standard system.,Computer Science,AI,Apply,58.4,Medium
